"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"54","박물관, 미술관","03_07_05_P","6470000","B04012017000017","2007-12-31","","01","영업/정상","1","영업","","","","","","","","경상북도 상주시 사벌면 삼덕리 361번지 0호","경상북도 상주시 사벌면 경천로 684-0 (상주박물관)","","상주박물관","2018-02-23 11:12:50","U","2024-10-11 02:40:00","","311101.247979527","329566.445825341","박물관","","20071102","공립","1종","전문박물관","","","","","","","","",
"55","박물관, 미술관","03_07_05_P","6470000","B04012017000018","1999-12-29","","01","영업/정상","1","영업","","","","","","","","경상북도 문경시 가은읍 왕능리 432번지 5호","경상북도 문경시 가은읍 왕능길 112-0 (문경석탄박물관)","","문경석탄박물관","2018-02-23 11:12:58","U","2024-10-11 02:40:00","","294871.732502921","350799.155019672","박물관","","19990520","공립","1종","전문박물관","","","","","","","","",
"56","박물관, 미술관","03_07_05_P","6470000","B04012017000019","2007-04-16","","01","영업/정상","1","영업","","","","","","","","경상북도 경산시 사동 655번지 1호","경상북도 경산시 박물관로 46-0 (사동,경산시립박물관)","","경산시립박물관","2018-02-23 11:13:05","U","2024-10-11 02:40:00","","359253.0504222","258559.461507404","박물관","","20070209","공립","1종","전문박물관","","","","","","","","",
"57","박물관, 미술관","03_07_05_P","6470000","B04012017000021","2007-04-16","","01","영업/정상","1","영업","","","","","","","","경상북도 영양군 입암면 연당리 20번지 0호","경상북도 영양군 입암면 영양로 963-0 (영양산촌생활박물관)","","영양산촌박물관","2018-02-23 11:13:20","U","2024-10-11 02:40:00","","386397.119303078","347982.962022524","박물관","","20060921","공립","1종","전문박물관","","","","","","","","",
"58","박물관, 미술관","03_07_05_P","6470000","B04012017000023","2005-11-25","","01","영업/정상","1","영업","","","","","","","","경상북도 고령군 대가야읍 지산리 460번지 0호","경상북도 고령군 대가야읍 대가야로 1203-0 (대가야박물관)","","대가야박물관","2018-02-23 11:13:35","U","2024-10-11 02:40:00","","313691.901947351","247702.150655962","박물관","","20050402","공립","1종","전문박물관","","","","","","","","",
"59","박물관, 미술관","03_07_05_P","6470000","B04012017000024","2004-03-23","","01","영업/정상","1","영업","","","","","","","","경상북도 봉화군 명호면 관창리 1726번지 5호","경상북도 봉화군 명호면 광석길 39-0 (청량산박물관)","","청량산박물관","2022-09-27 18:12:10","U","2024-10-11 02:40:00","","368979.767455721","366867.689831233","박물관","","20040611","공립","1종","전문박물관","","","0","","","","","",
"60","박물관, 미술관","03_07_05_P","6470000","B04012017000025","1999-12-29","","01","영업/정상","1","영업","","","","","","","","경상북도 울릉군 울릉읍 도동리 581번지 1호","경상북도 울릉군 울릉읍 약수터길 90-17 (독도박물관)","","독도박물관","2018-02-23 11:13:42","U","2024-10-11 02:40:00","","544776.339164006","449831.753246035","박물관","","19970808","공립","1종","전문박물관","","","","","","","","",
"61","박물관, 미술관","03_07_05_P","6470000","B04012017000026","2004-03-23","","01","영업/정상","1","영업","","","","","","","","경상북도 포항시 남구 괴동동 1번지 7호","경상북도 포항시 남구 동해안로6213번길 14-0 (괴동동,포스코홍보센타)","","포스코역사박물관","2018-01-24 11:27:30","U","2024-10-11 02:40:00","","415188.138792192","280071.745074902","박물관","","20030703","사립","1종","전문박물관","","","","0","","","","",
"62","박물관, 미술관","03_07_05_P","6470000","B04012017000027","2018-02-12","","01","영업/정상","1","영업","","","","","","","","경상북도 김천시 대항면 운수리 216번지 0호","경상북도 김천시 대항면 직지사길 95-0","","직지성보박물관","2024-11-13 14:30:31","U","2024-11-15 02:40:00","","290336.878517672","291108.425030893","박물관","","19951005","사립","1종","전문박물관","","","0","0","","","","",
"63","박물관, 미술관","03_07_05_P","6470000","B04012017000028","2000-11-20","","01","영업/정상","1","영업","","","","","","","","경상북도 안동시 수상동 280번지 0호","경상북도 안동시 강남로 71-1 (수상동)","","안동소주박물관","2020-02-18 11:22:56","U","2024-10-11 02:40:00","","352929.988276338","340090.208879185","박물관","","19960712","사립","1종","전문박물관","","","","","","","","",
