"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"13","박물관, 미술관","03_07_05_P","6470000","B04012003000001","2003-10-08","","01","영업/정상","1","영업","","","","","","","","경상북도 의성군 단북면 이연리 801번지 0호","경상북도 의성군 단북면 중련길 22-8","","한국전통창조박물관","2021-12-06 14:16:13","U","2024-10-11 02:40:00","","326159.00137713","321946.538832446","박물관","","20080428","사립","1종","전문박물관","","","0","","","","","",
"14","박물관, 미술관","03_07_05_P","6470000","B04012007000001","2007-11-08","","01","영업/정상","1","영업","","","","","","","","경상북도 경주시 조양동 646번지 1호","경상북도 경주시 산업로 3260 (조양동)","","한국광고영상박물관","2011-10-30 21:07:39","U","2024-10-11 02:40:00","","405854.967698309","256588.066745581","박물관","","20060426","사립","1종","전문박물관","","","","","","","","",
"15","박물관, 미술관","03_07_05_P","6470000","B04012007000002","2004-06-09","","01","영업/정상","1","영업","","","","","","","","경상북도 예천군 용문면 내지리 391번지","경상북도 예천군 용문면 용문사길 285-30","","용문사성보유물관","2018-04-30 14:13:05","U","2024-10-11 02:40:00","","322262.417050943","359772.076476711","박물관","","20061105","사립","1종","전문박물관","","","","","","","","",
"16","박물관, 미술관","03_07_05_P","6470000","B04012008000002","2008-06-23","","01","영업/정상","1","영업","","","","","","","","경상북도 영주시 순흥면 청구리 346번지","경상북도 영주시 순흥면 소백로 2780","","소수박물관","2018-02-23 10:58:36","U","2024-10-11 02:40:00","","340920.241271106","381644.150082816","박물관","","20040922","공립","1종","전문박물관","","","","","","","","",
"17","박물관, 미술관","03_07_05_P","6470000","B04012008000003","2008-06-30","","01","영업/정상","1","영업","","","","","","","","경상북도 안동시 도산면 서부리 220번지","경상북도 안동시 도산면 퇴계로 1997","","한국국학진흥원유교문화박물관","2018-04-30 14:10:27","U","2024-10-11 02:40:00","","361760.784173366","357170.635359581","박물관","","20060620","사립","1종","전문박물관","","","","","","","","",
"18","박물관, 미술관","03_07_05_P","6470000","B04012009000001","2000-12-30","","01","영업/정상","1","영업","","","","","","","","경상북도 경산시 진량읍 내리리 15번지","경상북도 경산시 진량읍 대구대로 201","","대구대학교 중앙박물관","2018-07-05 17:00:53","U","2024-10-11 02:40:00","","366747.877404956","268490.244806368","박물관","","20001230","대학","1종","전문박물관","","","","","","","","",
"19","박물관, 미술관","03_07_05_P","6470000","B04012011000001","2011-07-07","","01","영업/정상","1","영업","","","","","","","","경상북도 경주시 북군동 116번지","경상북도 경주시 보문로 280-34 (북군동)","","바니베어뮤지엄","2022-08-12 09:33:04","U","2024-10-11 02:40:00","","405480.091452187","263741.038597518","박물관","","20110406","사립","2종","전시장","","","0","","","","","",
"20","박물관, 미술관","03_07_05_P","6470000","B04012011000002","2011-10-17","","01","영업/정상","1","영업","","","","","","","","경상북도 영주시 부석면 북지리 161번지","경상북도 영주시 부석면 부석사로 345","","부석사성보박물관","2018-04-30 14:10:47","U","2024-10-11 02:40:00","","350085.193268292","389708.43757335","박물관","","20110823","사립","1종","전문박물관","","","","","","","","",
"21","박물관, 미술관","03_07_05_P","6470000","B04012011000003","1997-04-26","","01","영업/정상","1","영업","","","","","","","","경상북도 문경시 문경읍 상초리 242번지 1호","경상북도 문경시 문경읍 새재로 944","","옛길박물관","2018-02-23 10:59:19","U","2024-10-11 02:40:00","","296029.988613448","362955.620546732","박물관","","19970427","공립","1종","종합박물관","","","","","","","","",
"22","박물관, 미술관","03_07_05_P","6470000","B04012012000001","2012-08-28","","01","영업/정상","1","영업","","","","","","","","경상북도 영천시 청통면 치일리 479번지","경상북도 영천시 청통면 청통로 951","","은해사성보박물관","2018-04-30 14:11:10","U","2024-10-11 02:40:00","","361316.934053074","278312.53852318","박물관","","20090930","사립","1종","전문박물관","","","","","","","","",
"23","박물관, 미술관","03_07_05_P","6470000","B04012012000002","2012-08-23","","01","영업/정상","1","영업","","","","","","","","경상북도 포항시 남구 호미곶면 대보리 293번지 1호","경상북도 포항시 남구 호미곶면 해맞이로 136","","포항바다화석박물관","2019-03-06 11:07:13","U","2024-10-11 02:40:00","","431128.154338231","289282.012726792","박물관","","20091228","사립","1종","전문박물관","","","","","","","","",
"24","박물관, 미술관","03_07_05_P","6470000","B04012014000001","2007-11-08","","01","영업/정상","1","영업","","","","","","","","경상북도 안동시 임하면 천전리 240번지","경상북도 안동시 임하면 독립기념관길 2","","경상북도독립운동기념관","2024-06-18 18:14:06","U","2024-10-11 02:40:00","","366342.575944792","338544.652219689","박물관","","20070810","사립","1종","전문박물관","","","0","","","","","",
"25","박물관, 미술관","03_07_05_P","6470000","B04012014000003","2014-03-31","","01","영업/정상","1","영업","","","","","","","","경상북도 청도군 이서면 양원리 129번지 5호","경상북도 청도군 이서면 이서로 567","","청도박물관","2018-02-23 11:02:31","U","2024-10-11 02:40:00","","352588.24485784","245097.392637016","박물관","","20131214","공립","1종","전문박물관","","","","","","","","",
"26","박물관, 미술관","03_07_05_P","6470000","B04012013000001","2012-12-24","","01","영업/정상","1","영업","","","","","","","","경상북도 의성군 금성면 초전리 223번지 7호","경상북도 의성군 금성면 초전1길 83","","의성조문국박물관","2021-05-28 10:22:17","U","2024-10-11 02:40:00","","349907.271413522","309715.983337657","박물관","","20130430","공립","1종","종합박물관","","","","","","","","",
"27","박물관, 미술관","03_07_05_P","6470000","B04012013000013","2017-07-10","","01","영업/정상","1","영업","","","","","","","","경상북도 경산시 남산면 하대리 370번지","경상북도 경산시 남산면 하대2길 32-7","","경산공룡박물관","2019-03-06 13:23:26","U","2024-10-11 02:40:00","","363052.748952369","256564.349159042","박물관","","20120710","사립","1종","전문박물관","","","","","","","","",
"28","박물관, 미술관","03_07_05_P","6470000","B04012013000014","2013-10-21","","01","영업/정상","1","영업","","","","","","","","경상북도 경주시 북군동 185번지 1호","경상북도 경주시 보문로 74-14 (북군동)","","경주버드파크","2018-02-23 11:00:40","U","2024-10-11 02:40:00","","404364.360558322","263454.500102779","박물관","","20130910","사립","1종","동물원","","","","","","","","",
"29","박물관, 미술관","03_07_05_P","6470000","B04012015000001","2015-11-03","","01","영업/정상","1","영업","","","","","","","","경상북도 경주시 신평동 220번지 6호","경상북도 경주시 엑스포로 9 (신평동)","","경주한국대중음악박물관","2021-01-08 10:24:22","U","2024-10-11 02:40:00","","406778.302515997","262399.703611489","박물관","","20150425","사립","1종","전문박물관","","","","","","","","",
"30","박물관, 미술관","03_07_05_P","6470000","B04012015000002","2015-11-03","","01","영업/정상","1","영업","","","","","","","","경상북도 문경시 가은읍 전곡리 288번지 2호","경상북도 문경시 가은읍 전곡길 13-10","","잉카마야박물관","2018-04-30 14:11:59","U","2024-10-11 02:40:00","","291627.337691421","346069.133901431","박물관","","20140715","사립","1종","전문박물관","","","","","","","","",
"31","박물관, 미술관","03_07_05_P","6470000","B04012017000001","2017-01-11","","01","영업/정상","1","영업","","","","","","","","경상북도 안동시 풍천면 하회리 287번지","경상북도 안동시 풍천면 전서로 206","","하회세계탈박물관","2018-04-30 14:09:46","U","2024-10-11 02:40:00","","336711.003708217","339719.485029918","박물관","","19950801","사립","1종","전문박물관","","","","","","","","",
"32","박물관, 미술관","03_07_05_P","6470000","B04022012000001","2012-06-01","","01","영업/정상","1","영업","","","","","","","","경상북도 예천군 지보면 신풍리 114번지","경상북도 예천군 지보면 신풍1리길 50","","신풍미술관","2018-06-25 14:52:05","U","2024-10-11 02:40:00","","328584.884373648","338603.964822607","미술관","","20120601","사립","2종","전시관","","","","","","","","",
"33","박물관, 미술관","03_07_05_P","6470000","B04022014000001","2014-01-14","","01","영업/정상","1","영업","","","","","","","","경상북도 김천시 황금동 69번지 1호","경상북도 김천시 남산공원길 90-14 (황금동)","","김천시립미술관","2022-09-22 19:46:46","U","2024-10-11 02:40:00","","300750.408077991","291295.803535121","미술관","","20121224","공립","1종","미술관","","","0","","","","","",
"34","박물관, 미술관","03_07_05_P","6470000","B04022014000002","2014-01-14","","01","영업/정상","1","영업","","","","","","","","경상북도 경산시 하양읍 금락리 96번지 4호","경상북도 경산시 하양읍 하양로 13-13","","대구가톨릭대학교 김종복미술관","2022-08-12 09:57:52","U","2024-10-11 02:40:00","","363572.746252838","269768.594132506","미술관","","20130927","대학","1종","미술관","","","0","","","","","",
"35","박물관, 미술관","03_07_05_P","6470000","B04022015000001","2015-05-29","","01","영업/정상","1","영업","","","","","","","","경상북도 경주시 황성동 988번지","경상북도 경주시 알천북로 1 (황성동)","","알천미술관","2018-08-10 09:14:50","U","2024-10-11 02:40:00","","399214.43901189","264705.488946751","미술관","","20101106","공립","1종","미술관","","","","","","","","",
"36","박물관, 미술관","03_07_05_P","6470000","B04022017000001","2011-08-18","","01","영업/정상","1","영업","","","","","","","","경상북도 포항시 북구 환호동 351번지 0호","경상북도 포항시 북구 환호공원길 10-0 (환호동,포항시립미술관)","","포항시립미술관","2022-08-12 09:48:20","U","2024-10-11 02:40:00","","415403.055954189","287735.875528489","미술관","","20091215","공립","1종","미술관","","","0","","","","","",
"37","박물관, 미술관","03_07_05_P","6470000","B04012017000035","2000-11-20","","01","영업/정상","1","영업","","","","","","","","경상북도 경산시 대동 214번지 1호","경상북도 경산시 대학로 280-0 (대동,영남대학교)","","영남대학교박물관","2018-08-14 08:44:55","U","2024-10-11 02:40:00","","358344.532314777","260626.839725737","박물관","","19680501","대학","1종","전문박물관","","","","","","","","",
"38","박물관, 미술관","03_07_05_P","6470000","B04012017000037","2002-05-20","","01","영업/정상","1","영업","","","","","","","","경상북도 칠곡군 기산면 봉산리 538번지 0호","경상북도 칠곡군 기산면 지산로 483-0","","경북과학대학교박물관","2018-01-24 11:30:38","U","2024-10-11 02:40:00","","320664.494281219","277837.438659399","박물관","","19960301","대학","1종","전문박물관","","","","","","","","",
