연도,시군구명,항목명,산출액,중간투입액,부가가치,고정자본소모,지역내순생산,기타생산세(기타생산보조금 공제),지역내요소소득,산출액(2015년 기준년 연쇄가격),부가가치(2015년 기준년 연쇄가격)
2016,상주시,"농업, 임업 및 어업",868316,361956,506360,73915,432445,460,432905,848427,461516
2016,문경시,"농업, 임업 및 어업",377192,158057,219134,32363,186772,199,186971,397247,217405
2016,경산시,"농업, 임업 및 어업",281198,132506,148692,22761,125931,175,126106,273944,135546
2016,군위군,"농업, 임업 및 어업",262516,118793,143723,22164,121559,149,121708,267029,136687
2016,의성군,"농업, 임업 및 어업",595313,247157,348156,53441,294714,294,295008,610583,335038
2016,청송군,"농업, 임업 및 어업",230212,83251,146961,22102,124859,92,124951,273356,163324
2016,영양군,"농업, 임업 및 어업",145789,47542,98247,14089,84158,53,84210,156390,97617
2016,영덕군,"농업, 임업 및 어업",201960,92123,109837,17567,92270,102,92372,197317,111947
2016,청도군,"농업, 임업 및 어업",406250,159652,246599,36175,210423,193,210616,453368,259183
2016,고령군,"농업, 임업 및 어업",274358,122810,151549,23747,127802,148,127950,271260,138946
2016,성주군,"농업, 임업 및 어업",567580,216063,351517,53259,298258,244,298501,513213,292858
2016,칠곡군,"농업, 임업 및 어업",209669,89611,120059,18586,101473,110,101582,196398,104258
2016,예천군,"농업, 임업 및 어업",407338,175229,232109,35846,196264,211,196475,416539,222951
2016,봉화군,"농업, 임업 및 어업",411738,165287,246452,37032,209420,197,209616,438479,246290
2016,울진군,"농업, 임업 및 어업",180913,90495,90418,14912,75506,102,75608,172395,93509
2016,울릉군,"농업, 임업 및 어업",33067,15710,17357,2519,14838,19,14857,35081,20252
2016,경상북도,"농업, 임업 및 어업",9124920,3943373,5181547,790676,4390871,4819,4395690,9211943,4974613
2017,포항시,"농업, 임업 및 어업",523151,234172,288979,43241,245738,4271,250009,492599,292400
2017,경주시,"농업, 임업 및 어업",598547,274694,323853,49221,274632,5504,280136,583343,303114
2017,김천시,"농업, 임업 및 어업",484220,190683,293536,43213,250323,4078,254401,453360,255900
2017,안동시,"농업, 임업 및 어업",648841,256489,392351,55174,337177,5663,342841,694919,395894
2017,구미시,"농업, 임업 및 어업",403970,157695,246274,35944,210330,3379,213709,375691,209894
2017,영주시,"농업, 임업 및 어업",449567,191362,258206,38043,220162,4059,224222,516037,283591
2017,영천시,"농업, 임업 및 어업",500790,221076,279714,42335,237379,4590,241969,476037,241984
2017,상주시,"농업, 임업 및 어업",776766,305454,471312,68609,402703,6484,409187,750548,420957
2017,문경시,"농업, 임업 및 어업",393347,149266,244081,34258,209823,3291,213114,398732,231053
2017,경산시,"농업, 임업 및 어업",269480,120585,148895,21870,127025,2615,129640,260029,129900
2017,군위군,"농업, 임업 및 어업",241348,103673,137675,20494,117181,2175,119357,240014,127286
2017,의성군,"농업, 임업 및 어업",551497,212773,338725,50194,288530,4413,292943,567783,330175
2017,청송군,"농업, 임업 및 어업",168577,52250,116327,16894,99433,1085,100518,225969,150341
2017,영양군,"농업, 임업 및 어업",138576,37754,100823,13729,87094,858,87952,144739,100222
2017,영덕군,"농업, 임업 및 어업",227420,91386,136034,20091,115944,1670,117614,202398,125493
2017,청도군,"농업, 임업 및 어업",316219,117873,198347,27802,170545,2580,173125,320338,185045
2017,고령군,"농업, 임업 및 어업",270925,113180,157745,23778,133967,2318,136285,262030,140705
2017,성주군,"농업, 임업 및 어업",825943,261980,563963,82456,481506,5367,486873,677096,432652
2017,칠곡군,"농업, 임업 및 어업",244685,93594,151091,22448,128643,1964,130608,214332,122404
2017,예천군,"농업, 임업 및 어업",399199,156988,242211,35777,206434,3274,209708,407036,230081
2017,봉화군,"농업, 임업 및 어업",355137,135374,219763,32417,187347,2810,190156,389908,229679
2017,울진군,"농업, 임업 및 어업",196233,88820,107413,16082,91331,1589,92919,181387,108257
2017,울릉군,"농업, 임업 및 어업",37726,16519,21207,2846,18361,311,18672,33904,21683
2017,경상북도,"농업, 임업 및 어업",9022166,3583641,5438525,796917,4641608,74350,4715958,8911714,5092731
2018,포항시,"농업, 임업 및 어업",529290,264409,264880,41816,223064,1482,221582,503482,277289
2018,경주시,"농업, 임업 및 어업",659440,334772,324668,50500,274168,1847,272321,634450,316715
2018,김천시,"농업, 임업 및 어업",492085,210490,281595,42355,239241,1378,237863,468432,253717
2018,안동시,"농업, 임업 및 어업",773147,320076,453071,67141,385929,2165,383764,777286,430470
2018,구미시,"농업, 임업 및 어업",432698,183544,249154,37386,211768,1212,210556,426327,231149
2018,영주시,"농업, 임업 및 어업",520804,233545,287259,43387,243872,1458,242413,560165,300132
2018,영천시,"농업, 임업 및 어업",575843,261149,314694,47963,266732,1613,265119,511558,255529
2018,상주시,"농업, 임업 및 어업",821498,357998,463501,69730,393770,2300,391470,793746,424977
2018,문경시,"농업, 임업 및 어업",489066,190702,298364,44132,254232,1369,252863,527183,302903
2018,경산시,"농업, 임업 및 어업",311876,145609,166267,25051,141216,873,140343,276753,136641
2018,군위군,"농업, 임업 및 어업",274292,127902,146390,22270,124121,768,123353,277263,142462
2018,의성군,"농업, 임업 및 어업",637351,248308,389043,58546,330497,1785,328713,596010,335041
2018,청송군,"농업, 임업 및 어업",209654,63089,146565,21759,124806,587,124219,243028,154428
2018,영양군,"농업, 임업 및 어업",148866,39861,109005,15795,93210,417,92794,153457,101352
2018,영덕군,"농업, 임업 및 어업",228529,101911,126618,19673,106946,640,106306,211250,122518
2018,청도군,"농업, 임업 및 어업",348914,136684,212230,31360,180870,977,179893,334601,186748
2018,고령군,"농업, 임업 및 어업",297343,129378,167965,25576,142389,833,141557,272150,140964
2018,성주군,"농업, 임업 및 어업",516047,180250,335797,50252,285545,1445,284100,577985,349275
2018,칠곡군,"농업, 임업 및 어업",196488,84974,111514,16884,94630,550,94080,200717,109387
2018,예천군,"농업, 임업 및 어업",468933,190590,278342,41935,236408,1313,235095,444788,243856
2018,봉화군,"농업, 임업 및 어업",406117,161995,244122,36765,207356,1137,206219,435891,247239
2018,울진군,"농업, 임업 및 어업",218426,107500,110926,17506,93420,612,92808,192041,106928
2018,울릉군,"농업, 임업 및 어업",37197,18568,18629,2850,15779,104,15675,34936,20611
2018,경상북도,"농업, 임업 및 어업",9593904,4093303,5500601,830632,4669969,26865,4643104,9456554,5190049
2015,포항시,광업,24941,12158,12783,2073,10710,17,10692,24941,12783
2015,경주시,광업,21553,10399,11154,1771,9383,15,9368,21553,11154
2015,김천시,광업,24187,11794,12392,2011,10381,17,10364,24187,12392
2015,안동시,광업,26299,12675,13625,2158,11467,18,11449,26299,13625
2015,구미시,광업,9719,4768,4950,814,4136,7,4129,9719,4950
2015,영주시,광업,25440,12482,12958,2131,10827,18,10809,25440,12958
2015,영천시,광업,21627,10611,11016,1811,9204,15,9189,21627,11016
2015,상주시,광업,9083,4457,4626,761,3866,6,3859,9083,4626
2015,문경시,광업,16609,7604,9005,1284,7722,12,7710,16609,9005
2015,경산시,광업,31514,15462,16052,2639,13412,22,13390,31514,16052
2015,군위군,광업,23726,11641,12085,1987,10098,17,10081,23726,12085
2015,의성군,광업,680,328,353,56,297,  ,296,680,353
2015,청송군,광업,4721,2317,2405,395,2009,3,2006,4721,2405
2015,영양군,광업,150,73,76,13,64,  ,64,150,76
2015,영덕군,광업,20401,10009,10391,1709,8682,14,8668,20401,10391
2015,청도군,광업,6391,3136,3255,535,2720,4,2715,6391,3255
2015,고령군,광업,26300,12904,13396,2203,11193,18,11175,26300,13396
2015,성주군,광업,10209,5009,5200,855,4345,7,4338,10209,5200
2015,칠곡군,광업,17550,8611,8939,1470,7469,12,7457,17550,8939
2015,예천군,광업,569,279,290,48,242,  ,242,569,290
2015,봉화군,광업,13660,7530,6131,1322,4808,10,4798,13660,6131
2015,울진군,광업,34209,16821,17387,2875,14513,24,14489,34209,17387
2015,울릉군,광업,  ,  ,  ,  ,  ,  ,  ,  ,  
2015,경상북도,광업,369537,181068,188469,30920,157549,259,157290,369537,188469
2016,포항시,광업,19961,9529,10431,1573,8858,19,8839,19136,10086
